Transaction ID;Item;Quantity;Price Per Unit;Total Spent;Payment Method;Location;Transaction Date
TXN_5680238;Juice;5;3.0;15.0;;;2023-12-17
TXN_7766134;Tea;1;1.5;1.5;Credit Card;Takeaway;2023-01-05
TXN_2617257;Cookie;1;1.0;1.0;Cash;Takeaway;2023-08-20
TXN_8993132;Cake;3;3.0;9.0;;In-store;2023-01-21
TXN_4268167;Smoothie;4;4.0;16.0;;;2023-07-06
TXN_9358399;Tea;5;1.5;7.5;Credit Card;;2023-06-16
TXN_2793054;Smoothie;4;4.0;16.0;;Takeaway;2023-04-29
TXN_6179169;Sandwich;2;4.0;8.0;Cash;In-store;2023-10-21
TXN_7932895;Smoothie;2;4.0;8.0;;In-store;2023-04-04
TXN_3364751;Coffee;2;2.0;4.0;Digital Wallet;Takeaway;2023-04-12
TXN_1097334;Coffee;2;2.0;4.0;Credit Card;Takeaway;2023-03-21
TXN_9914084;UNKNOWN;1;2.0;2.0;ERROR;Takeaway;2023-06-16
TXN_5982786;Juice;4;3.0;UNKNOWN;Credit Card;In-store;2023-12-26
TXN_3160090;Salad;1;5.0;5.0;;Takeaway;2023-07-23
TXN_2300313;Coffee;4;2.0;8.0;;In-store;2023-06-02
TXN_9461396;Smoothie;5;4.0;20.0;;;2023-05-23
TXN_6887407;Cake;3;3.0;9.0;Cash;In-store;2023-09-15
TXN_6425991;Salad;1;5.0;5.0;Credit Card;Takeaway;2023-08-06
TXN_6040882;Cookie;1;1.0;1.0;Cash;In-store;2023-06-06
TXN_4151440;Cake;5;3.0;15.0;;In-store;2023-11-16
TXN_7921799;Cookie;1;1.0;1.0;Credit Card;Takeaway;2023-09-14
TXN_1715317;UNKNOWN;5;3.0;15.0;Digital Wallet;In-store;2023-02-10
TXN_2482242;Cookie;4;1.0;4.0;;;2023-02-07
TXN_5861636;Coffee;4;2.0;8.0;Credit Card;;2023-05-15
TXN_7272630;Tea;4;1.5;6.0;Cash;Takeaway;2023-03-24
TXN_7157169;Sandwich;3;4.0;12.0;;;2023-01-29
TXN_9325384;Juice;5;3.0;15.0;;In-store;2023-04-24
TXN_2832778;Juice;2;3.0;6.0;Credit Card;;2023-09-27
TXN_9894745;Tea;;1.5;3.0;Cash;Takeaway;2023-08-28
TXN_1244299;Sandwich;2;4.0;8.0;Cash;Takeaway;2023-07-18
TXN_1694090;Coffee;4;2.0;8.0;Digital Wallet;;2023-11-30
TXN_5965095;Salad;4;5.0;20.0;Digital Wallet;In-store;2023-06-16
TXN_7911650;Juice;2;3.0;6.0;Cash;Takeaway;2023-03-13
TXN_9610933;Tea;3;1.5;4.5;Cash;;2023-05-20
TXN_7440879;ERROR;1;3.0;3.0;;In-store;2023-12-30
TXN_4228312;Coffee;4;2.0;8.0;Digital Wallet;;2023-01-22
TXN_6431703;Sandwich;1;4.0;;Credit Card;Takeaway;2023-08-25
TXN_1063524;Smoothie;5;4.0;20.0;Credit Card;;2023-11-09
TXN_9031518;Sandwich;5;4.0;20.0;Credit Card;In-store;2023-01-13
TXN_5781767;Sandwich;5;;20.0;Credit Card;In-store;2023-04-27
TXN_4465589;;ERROR;1.5;3.0;Credit Card;;2023-03-26
TXN_2035838;UNKNOWN;UNKNOWN;3.0;15.0;Digital Wallet;Takeaway;2023-02-01
TXN_9817602;;2;4.0;8.0;Credit Card;Takeaway;2023-12-26
TXN_9643180;Coffee;2;2.0;4.0;Cash;;2023-06-10
TXN_9070074;Coffee;5;2.0;10.0;Digital Wallet;;2023-02-03
TXN_5274961;;1;3.0;3.0;Credit Card;In-store;2023-11-04
TXN_8715388;Salad;1;5.0;5.0;;In-store;2023-11-04
TXN_1980303;Tea;3;1.5;ERROR;Digital Wallet;;2023-04-22
TXN_9291130;Cookie;;1.0;5.0;Cash;In-store;2023-05-11
TXN_6485220;Cake;3;3.0;9.0;Cash;ERROR;ERROR
TXN_2652800;Cake;4;3.0;12.0;Cash;;2023-11-30
TXN_7068406;Juice;2;3.0;6.0;Digital Wallet;Takeaway;2023-01-26
TXN_5380220;Coffee;4;2.0;8.0;Credit Card;In-store;2023-10-18
TXN_7842557;Tea;4;1.5;6.0;;In-store;2023-02-09
TXN_7208533;Tea;1;1.5;1.5;Cash;In-store;2023-05-15
TXN_6916853;Smoothie;5;4.0;20.0;Cash;;2023-12-22
TXN_9086710;Salad;2;5.0;10.0;;In-store;2023-10-27
TXN_1830278;Cookie;3;1.0;3.0;Credit Card;;2023-05-15
TXN_8388122;Tea;4;1.5;6.0;;In-store;2023-11-01
TXN_8612901;Juice;3;3.0;UNKNOWN;Digital Wallet;UNKNOWN;2023-03-18
TXN_7752958;Juice;2;3.0;6.0;;;2023-09-22
TXN_5311814;Tea;4;1.5;6.0;Digital Wallet;;2023-07-06
TXN_2933739;Cookie;1;1.0;1.0;Digital Wallet;;2023-09-15
